"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.477775124811585,0.244024894168887,0.935433537083076,1,"0.48 (0.24, 0.94)",4,5
"2",0.453934943281139,0.243830791329189,0.845081671631288,2,"0.45 (0.24, 0.85)",4,6
"3",0.43128434703021,0.24246173546589,0.767156877912565,3,"0.43 (0.24, 0.77)",2,5
"4",0.409763977738285,0.239641787335424,0.700656255817707,4,"0.41 (0.24, 0.7)",2,5
"5",0.389317438965947,0.235086027943591,0.644734481282624,5,"0.39 (0.24, 0.64)",2,3
"6",0.369891148361997,0.228552560312767,0.598634561123812,6,"0.37 (0.23, 0.6)",0,7
"7",0.35143419724522,0.219919999207398,0.561595104758612,7,"0.35 (0.22, 0.56)",0,9
"8",0.333898217192617,0.209265428431124,0.532758899930297,8,"0.33 (0.21, 0.53)",1,2
"9",0.317237253284731,0.1968964396769,0.511128972351081,9,"0.32 (0.2, 0.51)",1,4
"10",0.301407643675993,0.183304486938259,0.49560471314002,10,"0.3 (0.18, 0.5)",2,3
"11",0.286367905174052,0.169058038409398,0.485079431213939,11,"0.29 (0.17, 0.49)",0,3
"12",0.272078624528602,0.154692149332951,0.478542564988508,12,"0.27 (0.15, 0.48)",1,4
"13",0.258502355144809,0.140638964887094,0.475141918664285,13,"0.26 (0.14, 0.48)",1,1
"14",0.24560351895041,0.127206388924992,0.474198576271143,14,"0.25 (0.13, 0.47)",0,4
"15",0.233375564207348,0.114681869954326,0.474915119458631,15,"0.23 (0.11, 0.47)",0,1
"16",0.221911836498681,0.103572924054506,0.475460779231277,16,"0.22 (0.1, 0.48)",0,0
"17",0.211307122365658,0.0942398780764399,0.473798363005502,17,"0.21 (0.09, 0.47)",0,1
"18",0.2016325655713,0.0868223041648462,0.468263217498502,18,"0.2 (0.09, 0.47)",0,0
"19",0.192940935301561,0.0812770286390466,0.458016307170428,19,"0.19 (0.08, 0.46)",0,3
"20",0.185271892004471,0.0773758863505943,0.443622368490683,20,"0.19 (0.08, 0.44)",1,2
"21",0.178657164987198,0.0746177995977517,0.427758293240059,21,"0.18 (0.07, 0.43)",3,1
"22",0.172995449361852,0.0719691836700241,0.415836667498207,22,"0.17 (0.07, 0.42)",0,0
"23",0.167696142204896,0.0679899486583201,0.413619905079357,23,"0.17 (0.07, 0.41)",0,3
"24",0.162117438372064,0.0621274186048774,0.423034859881602,24,"0.16 (0.06, 0.42)",0,0
"25",0.155703644593773,0.0549775592054683,0.440973104120135,25,"0.16 (0.05, 0.44)",0,1
"26",0.148004297175328,0.0476200452405162,0.460001074583718,26,"0.15 (0.05, 0.46)",1,1
"27",0.138707674014489,0.0409016816111666,0.47039187809963,27,"0.14 (0.04, 0.47)",0,3
"28",0.127679562929197,0.0351781899878568,0.463414143690114,28,"0.13 (0.04, 0.46)",0,3
"29",0.115195190917228,0.0303362192314697,0.437428669314565,29,"0.12 (0.03, 0.44)",0,2
"30",0.102364543530377,0.0259953122106324,0.403091899311624,30,"0.1 (0.03, 0.4)",1,0
"31",0.0901841873949107,0.0219689311419296,0.370213170751739,31,"0.09 (0.02, 0.37)",0,2
"32",0.0792939894965622,0.0183199584772429,0.343206933470471,32,"0.08 (0.02, 0.34)",0,1
"33",0.0700394238594742,0.0152279793167485,0.322138662821254,33,"0.07 (0.02, 0.32)",0,0
"34",0.0625605672162426,0.0128405475691207,0.304801999241066,34,"0.06 (0.01, 0.3)",0,2
"35",0.0568824115763243,0.0112094034137759,0.288651289216867,35,"0.06 (0.01, 0.29)",0,0
"36",0.0529470022799462,0.0102727758627863,0.2728945990721,36,"0.05 (0.01, 0.27)",0,2
"37",0.0505558539419615,0.00982203834522672,0.260220361391996,37,"0.05 (0.01, 0.26)",0,1
"38",0.0495738121571531,0.00969452671991591,0.253500033863851,38,"0.05 (0.01, 0.25)",0,1
"39",0.0499767568737237,0.00981771350509657,0.254405083863844,39,"0.05 (0.01, 0.25)",0,2
"40",0.0518564527050092,0.0102143301042044,0.263266573501474,40,"0.05 (0.01, 0.26)",0,2
"41",0.0554422205521534,0.0110141056227831,0.279082108436956,41,"0.06 (0.01, 0.28)",0,0
"42",0.0611456544963279,0.0124784718981642,0.29961930389364,42,"0.06 (0.01, 0.3)",0,2
"43",0.0695777878335807,0.0149986747417343,0.322766420578769,43,"0.07 (0.01, 0.32)",0,3
"44",0.081411100165275,0.0189170841816408,0.350358816743689,44,"0.08 (0.02, 0.35)",0,0
"45",0.0975307002655549,0.0245809700710602,0.386975675361507,45,"0.1 (0.02, 0.39)",0,2
"46",0.119118851085258,0.0323604715574644,0.438476326238794,46,"0.12 (0.03, 0.44)",0,0
