"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","59085.30",160,3,NA
"2","v2","-1+ thru  13","59114.50",134,2,NA
"3","v1","13+ thru  20","21643.30",42,2,NA
"4","v2","13+ thru  20","21679.30",20,1,NA
"5","v1","20+ thru  27","18832.90",48,3,NA
"6","v2","20+ thru  27","18878.00",25,1,NA
"7","v1","27+ thru  34","16397.70",45,3,NA
"8","v2","27+ thru  34","16449.10",17,1,NA
"9","v1","34+ thru  41","14873.10",20,1,NA
"10","v2","34+ thru  41","14929.00",17,1,NA
"11","v1","41+ thru  48","13484.10",38,3,NA
"12","v2","41+ thru  48","13543.00",16,1,NA
"13","v1","48+ thru  55","12374.20",32,3,NA
"14","v2","48+ thru  55","12434.10",18,1,NA
"15","v1","55+ thru  62","10670.30",26,2,NA
"16","v2","55+ thru  62","10726.70",22,2,NA
"17","v1","62+ thru  69","8952.20",25,3,NA
"18","v2","62+ thru  69","8999.60",19,2,NA
"19","v1","69+ thru  76","7705.00",16,2,NA
"20","v2","69+ thru  76","7738.40",19,2,NA
"21","v1","76+ thru  83","6924.00",11,2,NA
"22","v2","76+ thru  83","6946.10",14,2,NA
"23","v1","83+ thru 182","18071.30",21,1,NA
"24","v2","83+ thru 182","18097.60",23,1,NA
