"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"v1","-1+ thru  13","AZ",39764.5,103,3,NA
"v2","-1+ thru  13","AZ",39786.7,114,3,"1.11 (0.85, 1.44)"
"v1","13+ thru  20","AZ",14069.7,31,2,NA
"v2","13+ thru  20","AZ",14097.4,19,1,"0.61 (0.35, 1.08)"
"v1","20+ thru  27","AZ",11640.1,39,3,NA
"v2","20+ thru  27","AZ",11674.8,21,2,"0.54 (0.32, 0.91)"
"v1","27+ thru  34","AZ",9330.9,35,4,NA
"v2","27+ thru  34","AZ",9370.2,16,2,"0.46 (0.25, 0.82)"
"v1","34+ thru  41","AZ",7865,12,2,NA
"v2","34+ thru  41","AZ",7907.6,17,2,"1.41 (0.67, 2.95)"
"v1","41+ thru  48","AZ",6600.6,30,5,NA
"v2","41+ thru  48","AZ",6644.9,15,2,"0.50 (0.27, 0.92)"
"v1","48+ thru  55","AZ",5783.8,25,4,NA
"v2","48+ thru  55","AZ",5829.4,14,2,"0.56 (0.29, 1.07)"
"v1","55+ thru  62","AZ",4754.1,19,4,NA
"v2","55+ thru  62","AZ",4798.6,15,3,"0.78 (0.40, 1.54)"
"v1","62+ thru  69","AZ",3518.3,15,4,NA
"v2","62+ thru  69","AZ",3556.5,16,4,"1.05 (0.52, 2.13)"
"v1","69+ thru 182","AZ",7488.6,25,3,NA
"v2","69+ thru 182","AZ",7553.9,42,6,"1.66 (1.01, 2.73)"
"v1","-1+ thru  13","PB",19320.8,57,3,NA
"v2","-1+ thru  13","PB",19327.8,20,1,"0.35 (0.21, 0.58)"
"v1","13+ thru  20","PB",7573.6,11,1,NA
"v2","13+ thru  20","PB",7581.9,1,0,"0.09 (0.01, 0.70)"
"v1","20+ thru  27","PB",7192.8,9,1,NA
"v2","20+ thru  27","PB",7203.2,4,1,"0.44 (0.14, 1.44)"
"v1","27+ thru  34","PB",7066.9,10,1,NA
"v2","27+ thru  34","PB",7078.9,1,0,"0.10 (0.01, 0.78)"
"v1","34+ thru  41","PB",7008,8,1,NA
"v2","34+ thru  41","PB",7021.4,0,0,"0.00 (0.00, Inf)"
"v1","41+ thru  48","PB",6883.6,8,1,NA
"v2","41+ thru  48","PB",6898.1,1,0,"0.12 (0.02, 1.00)"
"v1","48+ thru  55","PB",6590.4,7,1,NA
"v2","48+ thru  55","PB",6604.6,4,1,"0.57 (0.17, 1.95)"
"v1","55+ thru  62","PB",5916.3,7,1,NA
"v2","55+ thru  62","PB",5928.1,7,1,"1.00 (0.35, 2.85)"
"v1","62+ thru  69","PB",5433.9,10,2,NA
"v2","62+ thru  69","PB",5443.1,3,1,"0.30 (0.08, 1.09)"
"v1","69+ thru 182","PB",25211.7,23,1,NA
"v2","69+ thru 182","PB",25228.2,14,1,"0.61 (0.31, 1.18)"
