"vacc_type","z.yr","n_v1","event_v1","n_v2","event_v2"
"All",1,2394613,14,2394605,28
"All",2,2165434,15,2165574,18
"All",3,2005119,15,2005421,10
"All",4,1871674,16,1872114,9
"All",5,1759057,15,1759633,15
"All",6,1660713,15,1661412,7
"All",7,1574593,16,1575445,6
"All",8,1493304,11,1494283,2
"All",9,1429314,10,1430425,11
"All",10,1375039,6,1376267,8
"All",11,1326614,9,1327939,4
"All",12,1282966,14,1284418,11
"All",13,1242465,4,1244031,5
"All",14,1207899,6,1209551,4
"All",15,1174643,7,1176373,4
"All",16,1146841,4,1148655,2
"All",17,1122679,5,1124554,4
"All",18,1102594,4,1104518,3
"All",19,1083839,7,1085859,1
"All",20,1066738,9,1068861,2
"All",21,1051400,8,1053572,5
"All",22,1037165,5,1039420,1
"All",23,1003516,9,1005829,6
"All",24,975254,6,977622,3
"All",25,957550,3,959968,1
"All",26,937016,6,939460,5
"All",27,916818,11,919304,4
"All",28,898856,9,901405,2
"All",29,881683,8,884273,1
"All",30,866084,6,868731,2
"All",31,851850,7,854531,0
"All",32,841946,5,844669,5
"All",33,830417,5,833184,3
"All",34,818436,5,821244,4
"All",35,806702,1,809540,4
"All",36,795664,5,798527,2
"All",37,784224,4,787108,1
"All",38,774945,3,777881,2
"All",39,767834,5,770795,3
"All",40,757243,2,760218,2
"All",41,745776,0,748759,3
"All",42,735196,7,738214,2
"All",43,723044,6,726102,3
"All",44,710922,1,714001,2
"All",45,699071,8,702142,2
"All",46,693027,7,696112,2
"All",47,685868,6,688965,2
"All",48,677945,3,681060,3
"All",49,670094,1,673199,2
"All",50,662203,2,665302,1
"All",51,654835,6,657963,0
"All",52,649030,8,652172,3
"All",53,644491,4,647641,1
"All",54,626487,7,629622,7
"All",55,612543,4,615648,4
"All",56,596670,3,599746,2
"All",57,580141,4,583183,2
"All",58,565327,2,568322,2
"All",59,556201,5,559173,5
"All",60,546478,1,549391,4
"All",61,533961,3,536790,3
"All",62,518565,8,521323,4
"All",63,502482,2,505188,2
"All",64,487343,5,489980,5
"All",65,474917,3,477450,3
"All",66,464593,2,467085,3
"All",67,458649,5,461088,2
"All",68,445631,4,447935,3
"All",69,436170,4,438367,1
"All",70,425846,1,427907,2
"All",71,414950,4,416859,3
"All",72,405894,1,407677,2
"All",73,398982,2,400675,4
"All",74,396211,3,397879,4
"All",75,389562,3,391133,1
"All",76,382813,2,384319,3
"All",77,376785,2,378173,2
"All",78,370158,0,371454,1
"All",79,364630,3,365834,3
"All",80,360404,0,361552,2
"All",81,357197,4,358338,2
"All",82,352186,1,353166,3
"All",83,347639,1,348553,1
"All",84,324199,1,325038,2
"All",85,303500,2,304286,1
"All",86,289376,1,290111,1
"All",87,283714,0,284420,3
"All",88,281139,1,281848,1
"All",89,272552,1,273236,1
"All",90,261538,1,262225,3
"AZ",1,1614207,9,1614202,24
"AZ",2,1466135,9,1466235,14
"AZ",3,1359142,10,1359370,8
"AZ",4,1268178,11,1268510,7
"AZ",5,1190869,12,1191319,13
"AZ",6,1121806,8,1122333,7
"AZ",7,1061128,7,1061763,6
"AZ",8,1003413,9,1004146,1
"AZ",9,958930,6,959773,10
"AZ",10,920879,3,921820,6
"AZ",11,884969,6,885981,4
"AZ",12,852342,10,853458,10
"AZ",13,821973,3,823175,4
"AZ",14,795500,2,796764,4
"AZ",15,769755,6,771084,4
"AZ",16,748398,4,749795,2
"AZ",17,729665,4,731107,4
"AZ",18,713417,4,714898,3
"AZ",19,698431,4,699980,1
"AZ",20,683802,7,685439,1
"AZ",21,670573,7,672244,2
"AZ",22,658282,5,660021,1
"AZ",23,627047,6,628831,6
"AZ",24,600714,6,602533,3
"AZ",25,584318,2,586184,1
"AZ",26,564910,5,566787,4
"AZ",27,545714,8,547617,4
"AZ",28,528524,6,530482,2
"AZ",29,512078,6,514063,1
"AZ",30,497156,6,499181,1
"AZ",31,483222,5,485272,0
"AZ",32,473666,4,475747,5
"AZ",33,462559,5,464676,3
"AZ",34,450892,3,453041,4
"AZ",35,439495,1,441654,4
"AZ",36,428962,3,431143,2
"AZ",37,417989,3,420188,1
"AZ",38,408996,2,411232,2
"AZ",39,402635,3,404887,3
"AZ",40,392749,0,395008,2
"AZ",41,381873,0,384133,3
"AZ",42,371940,5,374222,2
"AZ",43,360800,3,363105,3
"AZ",44,350251,1,352564,2
"AZ",45,340274,6,342574,2
"AZ",46,335281,7,337599,2
"AZ",47,329184,5,331514,2
"AZ",48,323122,3,325470,2
"AZ",49,317100,0,319439,2
"AZ",50,311880,2,314217,1
"AZ",51,307092,5,309468,0
"AZ",52,303291,7,305681,2
"AZ",53,300755,4,303159,1
"AZ",54,289876,6,292281,5
"AZ",55,282556,1,284957,3
"AZ",56,272954,2,275336,1
"AZ",57,262745,4,265120,2
"AZ",58,253865,2,256216,2
"AZ",59,249085,3,251433,3
"AZ",60,242905,1,245231,2
"AZ",61,233381,3,235648,1
"AZ",62,221494,4,223702,4
"AZ",63,209026,1,211197,1
"AZ",64,197425,2,199549,5
"AZ",65,188573,2,190613,3
"AZ",66,181789,1,183803,3
"AZ",67,178425,5,180403,1
"AZ",68,167997,2,169850,3
"AZ",69,161817,2,163585,0
"AZ",70,154927,1,156587,2
"AZ",71,148174,2,149733,2
"AZ",72,143030,0,144508,0
"AZ",73,138816,1,140233,2
"AZ",74,136954,3,138355,4
"AZ",75,131620,3,132956,1
"AZ",76,127195,2,128468,3
"AZ",77,123395,2,124564,1
"AZ",78,119399,0,120489,1
"AZ",79,116731,3,117743,3
"AZ",80,114748,0,115702,1
"AZ",81,114060,2,115010,1
"AZ",82,110753,1,111553,3
"AZ",83,109301,0,110052,1
"AZ",84,95223,1,95907,1
"AZ",85,83983,0,84611,1
"AZ",86,77414,0,77998,1
"AZ",87,75450,0,76020,3
"AZ",88,75272,1,75846,0
"AZ",89,73043,0,73601,0
"AZ",90,68463,1,69014,3
"PB",1,780406,5,780403,4
"PB",2,699299,6,699339,4
"PB",3,645977,5,646051,2
"PB",4,603496,5,603604,2
"PB",5,568188,3,568314,2
"PB",6,538907,7,539079,0
"PB",7,513465,9,513682,0
"PB",8,489891,2,490137,1
"PB",9,470384,4,470652,1
"PB",10,454160,3,454447,2
"PB",11,441645,3,441958,0
"PB",12,430624,4,430960,1
"PB",13,420492,1,420856,1
"PB",14,412399,4,412787,0
"PB",15,404888,1,405289,0
"PB",16,398443,0,398860,0
"PB",17,393014,1,393447,0
"PB",18,389177,0,389620,0
"PB",19,385408,3,385879,0
"PB",20,382936,2,383422,1
"PB",21,380827,1,381328,3
"PB",22,378883,0,379399,0
"PB",23,376469,3,376998,0
"PB",24,374540,0,375089,0
"PB",25,373232,1,373784,0
"PB",26,372106,1,372673,1
"PB",27,371104,3,371687,0
"PB",28,370332,3,370923,0
"PB",29,369605,2,370210,0
"PB",30,368928,0,369550,1
"PB",31,368628,2,369259,0
"PB",32,368280,1,368922,0
"PB",33,367858,0,368508,0
"PB",34,367544,2,368203,0
"PB",35,367207,0,367886,0
"PB",36,366702,2,367384,0
"PB",37,366235,1,366920,0
"PB",38,365949,1,366649,0
"PB",39,365199,2,365908,0
"PB",40,364494,2,365210,0
"PB",41,363903,0,364626,0
"PB",42,363256,2,363992,0
"PB",43,362244,3,362997,0
"PB",44,360671,0,361437,0
"PB",45,358797,2,359568,0
"PB",46,357746,0,358513,0
"PB",47,356684,1,357451,0
"PB",48,354823,0,355590,1
"PB",49,352994,1,353760,0
"PB",50,350323,0,351085,0
"PB",51,347743,1,348495,0
"PB",52,345739,1,346491,1
"PB",53,343736,0,344482,0
